x_east_m,y_north_m,lat,lon,mnt_m,mns_m,mnh_m
270.0,250.0,48.8126958,7.855383,142.23,142.23,0.0
280.0,250.0,48.8126958,7.8555194,142.2,142.2,0.0
290.0,250.0,48.8126958,7.8556558,142.18,142.18,0.0
300.0,250.0,48.8126958,7.8557922,142.28,142.28,0.0
-300.0,240.0,48.8126059,7.8476078,143.16,147.52,4.37
-290.0,240.0,48.8126059,7.8477442,143.31,144.53,1.22
-280.0,240.0,48.8126059,7.8478806,143.72,154.15,10.43
-270.0,240.0,48.8126059,7.848017,143.75,147.08,3.33
-260.0,240.0,48.8126059,7.8481534,143.76,150.17,6.41
-250.0,240.0,48.8126059,7.8482898,143.79,153.48,9.69
-240.0,240.0,48.8126059,7.8484262,143.45,148.21,4.75
-230.0,240.0,48.8126059,7.8485626,143.53,155.01,11.48
-220.0,240.0,48.8126059,7.848699,143.25,158.25,15.0
-210.0,240.0,48.8126059,7.8488355,143.29,143.94,0.65
-200.0,240.0,48.8126059,7.8489719,143.23,153.77,10.55
-190.0,240.0,48.8126059,7.8491083,143.08,144.99,1.91
-180.0,240.0,48.8126059,7.8492447,142.8,146.59,3.79
-170.0,240.0,48.8126059,7.8493811,142.98,147.52,4.54
-160.0,240.0,48.8126059,7.8495175,142.97,146.76,3.8
-150.0,240.0,48.8126059,7.8496539,142.81,153.96,11.15
-140.0,240.0,48.8126059,7.8497903,143.13,146.36,3.23
-130.0,240.0,48.8126059,7.8499267,142.92,142.99,0.07
-120.0,240.0,48.8126059,7.8500631,142.87,146.26,3.39
-110.0,240.0,48.8126059,7.8501995,142.91,146.4,3.49
-100.0,240.0,48.8126059,7.8503359,142.88,150.11,7.24
-90.0,240.0,48.8126059,7.8504723,143.04,159.64,16.6
-80.0,240.0,48.8126059,7.8506087,142.63,152.16,9.53
-70.0,240.0,48.8126059,7.8507452,142.64,142.64,0.0
-60.0,240.0,48.8126059,7.8508816,142.71,142.71,0.0
-50.0,240.0,48.8126059,7.851018,142.66,142.66,0.0
-40.0,240.0,48.8126059,7.8511544,142.52,142.52,0.0
-30.0,240.0,48.8126059,7.8512908,143.02,152.79,9.77
-20.0,240.0,48.8126059,7.8514272,142.71,159.84,17.13
-10.0,240.0,48.8126059,7.8515636,142.48,159.22,16.73
0.0,240.0,48.8126059,7.8517,142.51,151.47,8.96
10.0,240.0,48.8126059,7.8518364,142.71,142.68,-0.03
20.0,240.0,48.8126059,7.8519728,142.55,142.55,0.0
30.0,240.0,48.8126059,7.8521092,142.67,144.55,1.88
40.0,240.0,48.8126059,7.8522456,142.67,142.67,0.0
50.0,240.0,48.8126059,7.852382,142.77,142.77,0.0
60.0,240.0,48.8126059,7.8525184,142.76,143.98,1.22
70.0,240.0,48.8126059,7.8526548,142.59,142.59,0.0
80.0,240.0,48.8126059,7.8527913,142.62,142.62,0.0
90.0,240.0,48.8126059,7.8529277,142.5,142.5,0.0
100.0,240.0,48.8126059,7.8530641,142.45,142.45,0.0
110.0,240.0,48.8126059,7.8532005,142.53,142.53,0.0
120.0,240.0,48.8126059,7.8533369,142.57,142.57,0.0
130.0,240.0,48.8126059,7.8534733,142.37,153.46,11.1
140.0,240.0,48.8126059,7.8536097,142.64,142.64,0.0
150.0,240.0,48.8126059,7.8537461,142.38,142.38,0.0
160.0,240.0,48.8126059,7.8538825,142.5,142.5,0.0
170.0,240.0,48.8126059,7.8540189,142.45,142.45,0.0
180.0,240.0,48.8126059,7.8541553,142.45,142.45,0.0
190.0,240.0,48.8126059,7.8542917,142.37,142.37,0.0
200.0,240.0,48.8126059,7.8544281,142.2,142.2,0.0
210.0,240.0,48.8126059,7.8545645,142.37,142.37,0.0
220.0,240.0,48.8126059,7.854701,142.4,142.4,0.0
230.0,240.0,48.8126059,7.8548374,142.34,142.34,0.0
240.0,240.0,48.8126059,7.8549738,142.25,142.25,0.0
250.0,240.0,48.8126059,7.8551102,142.18,142.18,0.0
260.0,240.0,48.8126059,7.8552466,142.07,142.07,0.0
270.0,240.0,48.8126059,7.855383,142.24,142.24,0.0
280.0,240.0,48.8126059,7.8555194,142.18,142.18,0.0
